code_prefix,name,id,parent_id:id
609,Purchase Discount,azkatech_gaccount_lb_697,azkatech_gaccount_lb_44
636,Personnel Transportation,azkatech_gaccount_lb_701,azkatech_gaccount_lb_47
1011,Suscribed capital(uncalled),azkatech_gaccount_lb_239,azkatech_gaccount_lb_63
1012,Suscribed capital(called and unpaid),azkatech_gaccount_lb_240,azkatech_gaccount_lb_63
1013,Suscribed capital(called &paid Up),azkatech_gaccount_lb_241,azkatech_gaccount_lb_63
1021,Issue primiums,azkatech_gaccount_lb_242,azkatech_gaccount_lb_64
1022,Merger premiums,azkatech_gaccount_lb_243,azkatech_gaccount_lb_64
1023,Contributions premiums,azkatech_gaccount_lb_244,azkatech_gaccount_lb_64
1024,Premium on converting debenture loans to shares,azkatech_gaccount_lb_245,azkatech_gaccount_lb_64
1031,Revalution variances of unamortizable fixed assets,azkatech_gaccount_lb_246,azkatech_gaccount_lb_65
1035,Revalution variances of amortizable fixed assets,azkatech_gaccount_lb_247,azkatech_gaccount_lb_65
1090,OWNERS CURRENT ACCOUNTS,azkatech_gaccount_lb_248,azkatech_gaccount_lb_66
1110,LEGAL RESERVE,azkatech_gaccount_lb_249,azkatech_gaccount_lb_67
1120,STATUTARY RESERVES,azkatech_gaccount_lb_250,azkatech_gaccount_lb_68
1190,OTHER RESEVE,azkatech_gaccount_lb_251,azkatech_gaccount_lb_69
1210,Profit Brought Forward,azkatech_gaccount_lb_252,azkatech_gaccount_lb_70
1250,Loss Brought Forward,azkatech_gaccount_lb_253,azkatech_gaccount_lb_71
1310,Gross Trade margin,azkatech_gaccount_lb_254,azkatech_gaccount_lb_72
1320,Value Added,azkatech_gaccount_lb_255,azkatech_gaccount_lb_73
1330,Gross Trading Operating Margin,azkatech_gaccount_lb_256,azkatech_gaccount_lb_74
1340,Operating Results,azkatech_gaccount_lb_257,azkatech_gaccount_lb_75
1350,Results Before Taxes,azkatech_gaccount_lb_258,azkatech_gaccount_lb_76
1360,Non Operating Results,azkatech_gaccount_lb_259,azkatech_gaccount_lb_77
